============================== SRIM-2013.00 ==============================
==============================================================================
========== SRIM Outputs\BACKSCATSRIM Outputs\ : File of Backscattered Ions =============
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(20 keV) ==> Tungsten+SiO@2+Silicon(  2.5 um) ===========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
B  407 18 ,7390197E+04 -  1065489E-06  ,2366E+02 -,5438E+01  -,4387692  ,8828385 -,1675643
B  408 18 ,3009052E+04 -  1005938E-06  ,6195E+01 -,5117E+00  -,7379878 -,6307586  ,2398283
B  419 18 ,3438772E+04 -  3296695E-08  ,4677E+02 -,1450E+02  -,4015003 -,1528685  ,9030109
B  427 18 ,3038078E+04 -  1099444E-06 -,9491E+01  ,7562E+01  -,7829771 -,1849680  ,5939139
B  432 18 ,6448272E+04 -  2487989E-07  ,2187E+02 -,2204E+02  -,1819311  ,3135591 -,9319773
B  435 18 ,3264788E+04 -  1358652E-06  ,2353E+02 -,2987E+02  -,9934569 -,0871234 -,0738432
B  437 18 ,3401050E+03 -  1021783E-06 -,1182E+02 -,2594E+02  -,9079113 -,0520439  ,4159190
B  438 18 ,1160526E+04 -  7818625E-07  ,6117E+02  ,3559E-01  -,7140162 -,1936561 -,6728136
B  439 18 ,2521081E+04 -  1329923E-07  ,2170E+02 -,1328E+02  -,4506848  ,6778653 -,5808459
B  441 18 ,2674849E+04 -  1072306E-06 -,5751E+00 -,8806E+01  -,6927682 -,6018962  ,3972319
B  443 18 ,2164986E+04 -  5259794E-07  ,1296E+03 -,4073E+02  -,5343426 -,0117217  ,8451867
B  447 18 ,4657674E+04 -  3152577E-08  ,5818E+02 -,2610E+02  -,1727365  ,9748508  ,1408123
B  451 18 ,5830551E+04 -  2655069E-07  ,1773E+02  ,4169E+00  -,1683740  ,9271886 -,3346214
B  457 18 ,4869047E+04 -  2945979E-07  ,1796E+02  ,1159E+02  -,7281865  ,1126338  ,6760607
B  458 18 ,4702980E+04 -  7834449E-07  ,1051E+02  ,9851E+01  -,6824345 -,5773149  ,4483198
B  459 18 ,3356536E+04 -  7709162E-07  ,6620E+02 -,3392E+01  -,6124032  ,7855322 -,0888903
B  461 18 ,2139888E+03 -  2095858E-06  ,3960E+02 -,1652E+02  -,9295674  ,3676999  ,0264792
B  463 18 ,4489350E+04 -  7437586E-07  ,1972E+02  ,8867E+01  -,9319194 -,3510040 -,0912270
B  466 18 ,4657584E+04 -  2798516E-08  ,7354E+02  ,2826E+02  -,1593634  ,5549547  ,8164733
B  474 18 ,3760912E+04 -  8153113E-07  ,4238E+02 -,1738E+02  -,4188892  ,1134518 -,9009220
B  475 18 ,4809231E+04 -  2916170E-07  ,3576E+02 -,5746E+01  -,5656997  ,6578412 -,4972211
B  479 18 ,2024055E+04 -  8460550E-07  ,9458E+02 -,8568E+02  -,5120661  ,7007387 -,4967429
B  480 18 ,3962933E+04 -  2299875E-06  ,2092E+02  ,6795E+01  -,9249038 -,2596161  ,2777633
B  481 18 ,4651120E+04 -  1711336E-07  ,1092E+03 -,5707E+02  -,3672159  ,8191171 -,4406810
B  482 18 ,5856489E+04 -  2209329E-07  ,8915E+01 -,3030E+02  -,1670216 -,1817179 -,9690626
B  485 18 ,3621559E+04 -  1382066E-06  ,2761E+02 -,3497E+00  -,8278514 -,1214001  ,5476532
B  486 18 ,3529441E+03 -  5334256E-07  ,4890E+02  ,2559E+02  -,5729036  ,7179376 -,3954074
B  488 18 ,3413428E+04 -  8376651E-08  ,5946E+01  ,7581E+01  -,5573695 -,2111837  ,8029574
B  491 18 ,3211821E+04 -  6484039E-08  ,1550E+02 -,7439E+02  -,5792690 -,4905049 -,6510395
B  502 18 ,2589908E+04 -  3912277E-08  ,2517E+02  ,2404E+02  -,0660438 -,1790278 -,9816248
B  505 18 ,3582573E+04 -  1104142E-06  ,4156E+02  ,1231E+02  -,9342524 -,3517957 -,0584141
B  506 18 ,7409123E+04 -  1191325E-07  ,2411E+02 -,8693E+01  -,3944528  ,7481491 -,5335540
B  511 18 ,3920631E+04 -  7846063E-07  ,4008E+02  ,2801E+01  -,8191208 -,1376003  ,5568728
B  512 18 ,5666194E+04 -  1603883E-07  ,5595E+02  ,1478E+02  -,2242810  ,7960044  ,5622055
B  513 18 ,7897833E+04 -  1831938E-07  ,1176E+02 -,3932E+00  -,1969636  ,9803569 -,0102840
B  515 18 ,2681962E+04 -  7358145E-08  ,1449E+03 -,1654E+01  -,3065923  ,8851776  ,3499453
B  517 18 ,6881004E+04 -  1310385E-06  ,2243E+02  ,1347E+01  -,5362691  ,8429013  ,0439652
B  518 18 ,3111560E+04 -  1416700E-07  ,2218E+02 -,1047E+02  -,9685006 -,2424516  ,0567792
B  520 18 ,3860601E+04 -  1618818E-06  ,3518E+01 -,1040E+00  -,8205776 -,5714823 -,0077721
B  521 18 ,2129908E+04 -  1330927E-06  ,3842E+02  ,1749E+02  -,8708265 -,3578279  ,3370762
B  525 18 ,4004038E+04 -  7753811E-07  ,1731E+01 -,7796E+00  -,8093600 -,4981903 -,3110350
B  528 18 ,7620081E+04 -  4109385E-07  ,6958E+01 -,1666E+00  -,3154755  ,9480997 -,0397765
B  530 18 ,6684949E+04 -  1262020E-06  ,1566E+02 -,6077E+01  -,6481235  ,6523811 -,3928546
