============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(20 keV) ==> Tungsten+SiO@2+Silicon(  2.5 um) ===========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
B  315  1 ,1871344E+04 -  5481468E-07  ,4206E+03 -,4518E+03  -,6176765 -,7807344 -,0944963
B  319  1 ,8958861E+04 -  1513921E-07  ,6043E+03  ,4437E+02  -,6407072  ,7650803 -,0643922
B  325  1 ,3694533E+04 -  9873308E-07  ,8418E+03  ,1662E+03  -,6288254 -,4835062  ,6089338
B  327  1 ,1025209E+05 -  5684711E-07  ,5677E+03 -,3893E+03  -,3828593 -,0121667 -,9237266
B  329  1 ,2426886E+03 -  4762174E-07  ,6955E+02  ,1290E+04  -,8038423  ,5490093 -,2289681
B  335  1 ,3315253E+04 -  4755112E-07  ,9225E+03 -,3619E+03  -,3048840 -,9364553 -,1734852
B  343  1 ,1204083E+05 -  6709003E-07  ,6002E+03  ,2112E+03  -,6000097  ,7250319  ,3381081
B  344  1 ,9359564E+04 -  8088634E-07  ,6183E+03  ,6946E+02  -,9438021  ,2355627  ,2318358
B  346  1 ,1495190E+05 -  2529422E-07  ,3319E+03 -,2474E+01  -,5053944  ,8446936  ,1762643
B  356  1 ,1293408E+05 -  3149876E-07  ,5950E+02 -,2309E+03  -,9107075 -,3673460 -,1888618
B  358  1 ,2235216E+04 -  1458954E-06  ,1181E+04  ,2256E+03  -,8911004  ,2998954  ,3405918
B  361  1 ,9029743E+04 -  1749672E-06  ,4264E+03 -,4528E+03  -,7214659 -,3369397 -,6049451
B  363  1 ,9985226E+04 -  1500590E-06  ,7894E+03 -,2084E+03  -,8590763  ,1120517 -,4994319
